participant_id,condition,week,imageid,time_point,accuracy,belief,confidence,ground_truth,seen,ai_usage,ai_image_usage,ai_literacy
5caccbc4976d010014b9cd9d,Persuasive,0,2,before,1,1,80,real,True,Once a week,Never,4.166666666666667
5caccbc4976d010014b9cd9d,Persuasive,0,2,with,1,1,100,real,True,Once a week,Never,4.166666666666667
5caccbc4976d010014b9cd9d,Persuasive,0,102,after,0,0,80,real,False,Once a week,Never,4.166666666666667
5ccc60abe787e000167f8143,Critical Thinking,0,11,before,1,0,72,fake,False,Once a week,Rarely,6.166666666666667
5ccc60abe787e000167f8143,Critical Thinking,0,11,with,1,0,50,fake,False,Once a week,Rarely,6.166666666666667
5ccc60abe787e000167f8143,Critical Thinking,0,111,after,0,1,60,fake,True,Once a week,Rarely,6.166666666666667
5ccc60abe787e000167f8143,Critical Thinking,0,0,before,1,0,76,fake,False,Once a week,Rarely,6.166666666666667
5ccc60abe787e000167f8143,Critical Thinking,0,0,with,1,0,100,fake,False,Once a week,Rarely,6.166666666666667
5ccc60abe787e000167f8143,Critical Thinking,0,100,after,1,0,77,fake,False,Once a week,Rarely,6.166666666666667
5ccc60abe787e000167f8143,Critical Thinking,0,2,before,1,1,82,real,True,Once a week,Rarely,6.166666666666667
5ccc60abe787e000167f8143,Critical Thinking,0,2,with,1,1,64,real,True,Once a week,Rarely,6.166666666666667
5ccc60abe787e000167f8143,Critical Thinking,0,102,after,1,1,46,real,False,Once a week,Rarely,6.166666666666667
5ccc60abe787e000167f8143,Critical Thinking,0,4,before,0,0,80,real,False,Once a week,Rarely,6.166666666666667
5ccc60abe787e000167f8143,Critical Thinking,0,4,with,0,0,30,real,False,Once a week,Rarely,6.166666666666667
5ccc60abe787e000167f8143,Critical Thinking,0,104,after,1,1,50,real,False,Once a week,Rarely,6.166666666666667
5cd08e2ff59e0a0013563602,Critical Thinking,0,8,before,1,0,88,fake,False,2-4 hours a day,Once a week,6.333333333333333
5cd08e2ff59e0a0013563602,Critical Thinking,0,8,with,1,0,100,fake,False,2-4 hours a day,Once a week,6.333333333333333
5cd08e2ff59e0a0013563602,Critical Thinking,0,108,after,1,0,100,fake,False,2-4 hours a day,Once a week,6.333333333333333
5cd08e2ff59e0a0013563602,Critical Thinking,0,4,before,1,1,50,real,False,2-4 hours a day,Once a week,6.333333333333333
5cd08e2ff59e0a0013563602,Critical Thinking,0,4,with,1,1,60,real,False,2-4 hours a day,Once a week,6.333333333333333
5cd08e2ff59e0a0013563602,Critical Thinking,0,104,after,0,0,100,real,False,2-4 hours a day,Once a week,6.333333333333333
5cd08e2ff59e0a0013563602,Critical Thinking,0,2,before,1,1,75,real,True,2-4 hours a day,Once a week,6.333333333333333
5cd08e2ff59e0a0013563602,Critical Thinking,0,2,with,1,1,100,real,True,2-4 hours a day,Once a week,6.333333333333333
5cd08e2ff59e0a0013563602,Critical Thinking,0,102,after,0,0,100,real,False,2-4 hours a day,Once a week,6.333333333333333
5cd08e2ff59e0a0013563602,Critical Thinking,0,7,before,1,0,70,fake,False,2-4 hours a day,Once a week,6.333333333333333
5cd08e2ff59e0a0013563602,Critical Thinking,0,7,with,1,0,100,fake,False,2-4 hours a day,Once a week,6.333333333333333
5cd08e2ff59e0a0013563602,Critical Thinking,0,107,after,1,0,100,fake,False,2-4 hours a day,Once a week,6.333333333333333
5d07fc124e753800168ccafe,Persuasive,0,3,before,1,1,42,real,False,2-4 hours a day,Rarely,7.0
5d07fc124e753800168ccafe,Persuasive,0,3,with,1,1,62,real,False,2-4 hours a day,Rarely,7.0
5d07fc124e753800168ccafe,Persuasive,0,103,after,0,0,86,real,False,2-4 hours a day,Rarely,7.0
5d07fc124e753800168ccafe,Persuasive,0,0,before,1,0,100,fake,False,2-4 hours a day,Rarely,7.0
5d07fc124e753800168ccafe,Persuasive,0,0,with,1,0,100,fake,False,2-4 hours a day,Rarely,7.0
5d07fc124e753800168ccafe,Persuasive,0,100,after,1,0,95,fake,False,2-4 hours a day,Rarely,7.0
5d07fc124e753800168ccafe,Persuasive,0,1,before,1,0,83,fake,False,2-4 hours a day,Rarely,7.0
5d07fc124e753800168ccafe,Persuasive,0,1,with,1,0,94,fake,False,2-4 hours a day,Rarely,7.0
5d07fc124e753800168ccafe,Persuasive,0,101,after,1,0,97,fake,False,2-4 hours a day,Rarely,7.0
5d07fc124e753800168ccafe,Persuasive,0,10,before,1,1,72,real,False,2-4 hours a day,Rarely,7.0
5d07fc124e753800168ccafe,Persuasive,0,10,with,1,1,95,real,False,2-4 hours a day,Rarely,7.0
5d07fc124e753800168ccafe,Persuasive,0,110,after,0,0,99,real,False,2-4 hours a day,Rarely,7.0
5d0d16d991270800010b7dd7,Critical Thinking,0,10,before,0,0,88,real,False,0-2 hours a day,Rarely,6.333333333333333
5d0d16d991270800010b7dd7,Critical Thinking,0,10,with,0,0,91,real,False,0-2 hours a day,Rarely,6.333333333333333
5d0d16d991270800010b7dd7,Critical Thinking,0,110,after,1,1,68,real,False,0-2 hours a day,Rarely,6.333333333333333
5d0d16d991270800010b7dd7,Critical Thinking,0,9,before,1,1,59,real,False,0-2 hours a day,Rarely,6.333333333333333
5d0d16d991270800010b7dd7,Critical Thinking,0,9,with,1,1,95,real,False,0-2 hours a day,Rarely,6.333333333333333
5d0d16d991270800010b7dd7,Critical Thinking,0,109,after,0,0,87,real,False,0-2 hours a day,Rarely,6.333333333333333
5d0d16d991270800010b7dd7,Critical Thinking,0,3,before,1,1,88,real,True,0-2 hours a day,Rarely,6.333333333333333
5d0d16d991270800010b7dd7,Critical Thinking,0,3,with,1,1,86,real,True,0-2 hours a day,Rarely,6.333333333333333
5d0d16d991270800010b7dd7,Critical Thinking,0,103,after,1,0,94,fake,False,0-2 hours a day,Rarely,6.333333333333333
5d0d16d991270800010b7dd7,Critical Thinking,0,5,before,1,0,80,fake,False,0-2 hours a day,Rarely,6.333333333333333
5d0d16d991270800010b7dd7,Critical Thinking,0,5,with,1,0,98,fake,False,0-2 hours a day,Rarely,6.333333333333333
5d0d16d991270800010b7dd7,Critical Thinking,0,105,after,1,0,96,fake,False,0-2 hours a day,Rarely,6.333333333333333
5d20189bb34728001a230962,Persuasive,0,7,before,0,1,14,fake,False,0-2 hours a day,Everyday,5.333333333333333
5d20189bb34728001a230962,Persuasive,0,7,with,0,1,19,fake,False,0-2 hours a day,Everyday,5.333333333333333
5d20189bb34728001a230962,Persuasive,0,107,after,1,0,50,fake,False,0-2 hours a day,Everyday,5.333333333333333
5d20189bb34728001a230962,Persuasive,0,3,before,1,1,54,real,False,0-2 hours a day,Everyday,5.333333333333333
5d20189bb34728001a230962,Persuasive,0,3,with,1,1,53,real,False,0-2 hours a day,Everyday,5.333333333333333
5d20189bb34728001a230962,Persuasive,0,103,after,1,1,42,real,False,0-2 hours a day,Everyday,5.333333333333333
5d20189bb34728001a230962,Persuasive,0,5,before,0,1,85,fake,False,0-2 hours a day,Everyday,5.333333333333333
5d20189bb34728001a230962,Persuasive,0,5,with,0,1,51,fake,False,0-2 hours a day,Everyday,5.333333333333333
5d20189bb34728001a230962,Persuasive,0,105,after,1,0,85,fake,False,0-2 hours a day,Everyday,5.333333333333333
5d20189bb34728001a230962,Persuasive,0,6,before,0,0,64,real,True,0-2 hours a day,Everyday,5.333333333333333
5d20189bb34728001a230962,Persuasive,0,6,with,0,0,56,real,True,0-2 hours a day,Everyday,5.333333333333333
5d20189bb34728001a230962,Persuasive,0,106,after,1,1,35,real,False,0-2 hours a day,Everyday,5.333333333333333
5d8b66f5d189bd001a378273,Critical Thinking,0,7,before,1,0,75,fake,False,Once a week,Once a week,6.0
5d8b66f5d189bd001a378273,Critical Thinking,0,7,with,1,0,72,fake,False,Once a week,Once a week,6.0
5d8b66f5d189bd001a378273,Critical Thinking,0,107,after,1,0,100,fake,False,Once a week,Once a week,6.0
5d8b66f5d189bd001a378273,Critical Thinking,0,9,before,1,1,47,real,False,Once a week,Once a week,6.0
5d8b66f5d189bd001a378273,Critical Thinking,0,9,with,1,1,100,real,False,Once a week,Once a week,6.0
5d8b66f5d189bd001a378273,Critical Thinking,0,109,after,1,1,95,real,False,Once a week,Once a week,6.0
5d8b66f5d189bd001a378273,Critical Thinking,0,2,before,1,1,60,real,False,Once a week,Once a week,6.0
5d8b66f5d189bd001a378273,Critical Thinking,0,2,with,1,1,100,real,False,Once a week,Once a week,6.0
5d8b66f5d189bd001a378273,Critical Thinking,0,102,after,1,1,88,real,False,Once a week,Once a week,6.0
5d8b66f5d189bd001a378273,Critical Thinking,0,1,before,1,0,1,fake,False,Once a week,Once a week,6.0
5d8b66f5d189bd001a378273,Critical Thinking,0,1,with,1,0,100,fake,False,Once a week,Once a week,6.0
5d8b66f5d189bd001a378273,Critical Thinking,0,101,after,0,1,82,fake,False,Once a week,Once a week,6.0
5deb341d35575a2547b1f85a,Persuasive,0,8,before,1,0,44,fake,False,Once a month,Never,5.0
